Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	 53.650802	128.000000	128.000000	 55.411714	  min	  0.995380	  1.000000	  1.000000	  0.996920	     
    4	 55.968816	128.000000	 93.516541	 57.729538	     	  0.997315	  1.000000	  1.000000	  0.998210	     
    5	 53.490201	 87.215654	 78.659327	 55.247353	  min	  0.996037	  0.999998	  0.999987	  0.997356	     
    6	 53.707921	 76.608675	 69.864158	 55.437074	     	  0.994764	  0.999981	  0.999916	  0.996492	     
    7	 52.669230	 71.017223	 66.215720	 54.366743	  min	  0.994501	  0.999944	  0.999844	  0.996299	     
    8	 54.959301	 67.798676	 57.454878	 56.099170	     	  0.996793	  0.999903	  0.998412	  0.997581	     
    9	 52.541353	 66.443111	 58.781379	 54.010048	  min	  0.995183	  0.999765	  0.998575	  0.996512	     
   10	 53.345832	 61.174069	 60.172406	 54.720008	     	  0.994960	  0.999449	  0.999155	  0.996407	     
   11	 52.183276	 61.377646	 60.580117	 53.665566	  min	  0.994092	  0.999277	  0.999098	  0.995791	     
   12	 53.933507	 60.830137	 59.216436	 55.182300	     	  0.995301	  0.999133	  0.998760	  0.996516	     
   13	 52.611115	 59.351578	 57.102395	 53.795994	     	  0.993777	  0.998796	  0.997890	  0.995299	     
   14	 52.377403	 56.920801	 54.590290	 53.211056	  min	  0.994073	  0.998624	  0.997226	  0.995357	     
   15	 52.672023	 57.456312	 56.459272	 53.686210	     	  0.993690	  0.998086	  0.997428	  0.995046	     
   16	 52.026419	 57.299932	 56.289599	 53.113252	  min	  0.993132	  0.997955	  0.997307	  0.994632	     
